pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,854.0337698488862
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,854.0337698488862
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,864.4235944642295
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,864.4235944642295
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,860.6471986268207
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,860.6471986268207
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,859.0122056166304
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,854.0337698488862
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,854.0337698488862
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,864.4235944642295
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,864.4235944642295
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,860.6471986268207
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,860.6471986268207
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,859.0122056166304
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,854.0337698488862
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,854.0337698488862
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,864.4235944642295
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,864.4235944642295
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,860.6471986268207
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,860.6471986268207
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,859.0122056166304
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,854.0337698488862
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,854.0337698488862
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,864.4235944642295
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,864.4235944642295
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,860.6471986268207
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,860.6471986268207
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,859.0122056166304
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,854.0337698488862
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,854.0337698488862
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,864.4235944642295
